dates,open,high,low,close,volume,tickers
2005-10-3,101.56138154077188,101.63920206362758,101.21248266504132,101.49273137486635,1016,AAA
2005-10-4,101.49273137486635,101.67201473748175,100.59524453277788,100.61932787251773,1239,AAA
2005-10-5,100.61932787251773,100.91867062923617,100.42499702853031,100.43563438440562,851,AAA
2005-10-6,100.43563438440562,100.64838020712376,100.06690785922311,100.06690785922311,985,AAA
2005-10-7,100.06690785922311,100.11149431367885,99.63815391152312,100.11149431367885,849,AAA
2005-10-10,100.18071039591999,100.45786752653278,100.02259853368544,100.36302061602657,1126,AAA
2005-10-11,100.36302061602657,100.42963478138655,99.52984689975489,99.52984689975489,981,AAA
2005-10-12,99.52984689975489,100.85364098565063,99.52984689975489,100.85364098565063,852,AAA
2005-10-13,100.85364098565063,101.14706470725186,100.30464328575013,100.54252550700359,797,AAA
2005-10-14,100.54252550700359,100.75360181474495,100.35918356101992,100.61483100321558,1049,AAA
2005-10-17,100.98671673946157,101.36955339456026,100.92171122849423,101.14055831855252,1067,AAA
2005-10-18,101.14055831855252,101.31724370001336,100.75119713844818,100.75119713844818,1003,AAA
2005-10-19,100.75119713844818,101.15850387694519,100.62535559346735,101.08797864457279,908,AAA
2005-10-20,101.08797864457279,101.8697591566483,100.78095050332858,101.8697591566483,808,AAA
2005-10-21,101.8697591566483,102.56247387138022,101.8697591566483,102.24388123023839,1072,AAA
2005-10-24,104.15683905207982,104.25224420791889,102.98021642087845,102.99719761424784,881,AAA
2005-10-25,102.99719761424784,103.75726069620158,102.86589080846598,103.4620931897675,971,AAA
2005-10-26,103.4620931897675,103.72610394228857,103.17215631572131,103.47788852392391,1071,AAA
2005-10-27,103.47788852392391,103.81095556423038,103.44072414778769,103.5283776722825,903,AAA
2005-10-28,103.5283776722825,103.5283776722825,102.78949185816117,102.78949185816117,1008,AAA
2005-10-31,103.60686303960215,104.50545597628269,103.60686303960215,104.43717739795298,1038,AAA
2005-11-1,104.43717739795298,104.83337067257484,104.27841457756277,104.74211379651126,881,AAA
2005-11-2,104.74211379651126,105.0579848020073,104.19814030978472,104.19814030978472,955,AAA
2005-11-3,104.19814030978472,104.31118206313069,103.51062210070357,104.31118206313069,1120,AAA
2005-11-4,104.31118206313069,104.31118206313069,103.24603136446807,103.7185309503231,1125,AAA
2005-11-7,103.7058860019552,103.78708442253804,103.37040089720456,103.48722522820574,1100,AAA
2005-11-8,103.48722522820574,103.91259182096316,103.33805170232712,103.80518071451047,976,AAA
2005-11-9,103.80518071451047,104.78818789616936,103.78409227703557,104.18227845668666,862,AAA
2005-11-10,104.18227845668666,104.48289524532777,104.08501950126893,104.37330436401044,870,AAA
2005-11-11,104.37330436401044,105.18574426655155,104.19080363713348,105.03020869973103,983,AAA
2005-11-14,103.970458447247,104.63581940729341,103.69129689767801,104.45026733676512,1013,AAA
2005-11-15,104.45026733676512,104.79956767226444,104.16267008386347,104.79792204622392,960,AAA
2005-11-16,104.79792204622392,105.45994100941584,104.73560912114101,105.13891873726864,1022,AAA
2005-11-17,105.13891873726864,105.13891873726864,104.49864431521627,104.8771249005287,1114,AAA
2005-11-18,104.8771249005287,105.15202757718323,104.79895270346536,104.85485887807877,1132,AAA
2005-11-21,104.47850306010416,105.2157406539591,104.47850306010416,104.93705504073795,821,AAA
2005-11-22,104.93705504073795,105.19724853858185,104.50567850692306,104.50567850692306,1093,AAA
2005-11-23,104.50567850692306,105.75898855699492,104.50567850692306,105.26727679065934,891,AAA
2005-11-24,105.26727679065934,105.59505390157342,105.26727679065934,105.57327182893775,932,AAA
2005-11-25,105.57327182893775,105.8085869180938,105.4377253808024,105.8085869180938,1020,AAA
2005-11-28,104.69341493404357,104.83470208075828,104.14014123052674,104.27026803163393,1159,AAA
2005-11-29,104.27026803163393,104.31504858978383,103.82317809712303,104.13712852460863,962,AAA
2005-11-30,104.13712852460863,104.14801560909349,103.75920213899661,103.75920213899661,934,AAA
2005-12-1,103.75920213899661,103.82665674697088,103.45061279870171,103.73913139936592,873,AAA
2005-12-2,103.73913139936592,104.3390688800966,103.37159454333062,103.72778483174633,1056,AAA
2005-12-5,104.08535277699814,104.23184833059123,103.75674269171971,103.75674269171971,1067,AAA
2005-12-6,103.75674269171971,105.01510965298473,103.75674269171971,104.58538022907507,1110,AAA
2005-12-7,104.58538022907507,104.82841495630338,104.33711129564102,104.63625699577587,935,AAA
2005-12-8,104.63625699577587,104.63625699577587,104.3009470880273,104.59079367439097,984,AAA
2005-12-9,104.59079367439097,105.01820535413906,104.47767855681629,105.01820535413906,970,AAA
2005-12-12,106.63471655453161,107.41367874274516,106.34131679523594,107.41367874274516,878,AAA
